user_id,timestamp,session_id,session_count,engagement_tag
user-62,1519874873783,0,1,au
user-62,1519879921275,0,1,au
user-62,1519881212221,0,1,au
user-62,1519881247963,0,1,au
user-62,1519895111545,0,1,au
user-62,1519896506057,0,1,au
user-62,1519907683375,0,1,au
user-62,1519908609404,0,1,au
user-62,1519912255671,0,1,au
user-62,1519918624954,0,1,au
user-62,1519970551590,1,2,au
user-62,1519979402208,1,2,au
user-62,1519991553367,1,2,au
user-62,1519991766982,1,2,au
user-62,1520007712735,2,3,au
user-62,1520012508270,2,3,au
user-62,1520012804284,2,3,au
user-62,1520039665514,3,4,eu
user-62,1520044489475,3,4,eu
user-62,1520047913654,3,4,eu
user-62,1520067362827,4,5,eu
user-62,1520115358575,5,6,eu
user-62,1520123534725,5,6,eu
user-62,1520172665621,6,7,eu
user-62,1520176213160,6,7,eu
user-62,1520191999153,7,8,eu
user-62,1520210540744,8,9,eu
user-62,1520241644833,9,10,eu
user-62,1520247494636,9,10,eu
user-62,1520251945345,9,10,eu
user-62,1520260149964,9,10,eu
user-62,1520280267370,10,11,eu
user-62,1520283774357,10,11,eu
user-62,1520300573815,11,12,eu
user-62,1520302924577,11,12,eu
user-62,1520310911421,11,12,eu
user-62,1520314592792,11,12,eu
user-62,1520322732297,11,12,eu
user-62,1520353574667,12,13,eu
user-62,1520365990739,12,13,eu
user-62,1520367274053,12,13,eu
user-62,1520372831079,12,13,eu
user-62,1520383484914,12,13,eu
user-62,1520399184120,13,14,eu
user-62,1520404748654,13,14,eu
user-62,1520472843333,14,15,eu
user-62,1520476406701,14,15,eu
user-62,1520491370273,15,16,eu
user-62,1520494284607,15,16,eu
user-62,1520495596750,15,16,eu
user-62,1520500949832,15,16,eu
user-62,1520502149198,15,16,eu
user-62,1520518418927,16,17,eu
user-62,1520518431116,16,17,eu
user-62,1520528135153,16,17,eu
user-62,1520570708066,17,18,eu
user-62,1520575307750,17,18,eu
user-62,1520605536946,18,19,eu
user-62,1520628509557,19,20,eu
user-62,1520637550501,19,20,eu
user-62,1520655208042,20,21,eu
user-62,1520658136957,20,21,eu
user-62,1520659370733,20,21,eu
user-62,1520663223861,20,21,eu
user-62,1520665219706,20,21,eu
user-62,1520677458812,20,21,eu
user-62,1520678551808,20,21,eu
user-62,1520685777680,20,21,eu
user-62,1520692480313,20,21,eu
user-62,1520709426733,21,22,eu
user-62,1520714160847,21,22,eu
user-62,1520715053028,21,22,eu
user-62,1520715068243,21,22,eu
user-62,1520735712172,22,23,eu
user-62,1520751422827,23,24,eu
user-62,1520765077649,23,24,eu
user-62,1520786002221,24,25,eu
user-62,1520790894957,24,25,eu
user-62,1520804042443,24,25,eu
user-62,1520830971230,25,26,eu
user-62,1520842033793,25,26,eu
user-62,1520858900617,26,27,eu
user-62,1520866413928,26,27,eu
user-62,1520867712261,26,27,eu
user-62,1520914462830,27,28,eu
user-62,1520941529530,28,29,eu
user-62,1520957810557,29,30,eu
user-62,1520971625358,29,30,eu
user-62,1520979045085,29,30,eu
user-62,1521061574830,30,31,eu
user-62,1521080691251,31,32,eu
user-62,1521085652347,31,32,eu
user-62,1521142485410,32,33,eu
